circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.15,5,30,801,340,407,0,0,42.45,461,461,0,407,0,0,461,461,0,407,0,0,340,42.45,42.45,42.45,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.49,10.66,10.97,10.97,0.0,PASS
b04,0.15,11,66,2259,580,1565,0,0,25.68,1679,1679,0,1565,0,0,1679,1679,0,1565,0,0,580,25.68,25.68,25.68,0.0,0.0,0.0,0.32,0.54,0.94,1.79,0,0,12.39,12.75,13.76,13.76,0.0,PASS
b05,0.15,14,88,4665,4208,279,0,0,90.2,457,457,0,279,0,0,457,457,0,279,0,0,4208,90.2,90.2,90.2,0.0,0.0,0.0,3.05,3.62,4.85,11.53,0,0,14.95,15.5,17.48,17.48,0.0,PASS
b07,0.15,7,44,1575,723,774,0,0,45.9,852,852,0,774,0,0,852,852,0,774,0,0,723,45.9,45.9,45.9,0.0,0.0,0.0,0.02,0.02,0.03,0.07,0,0,11.46,11.76,12.36,12.36,0.0,PASS
b08,0.15,11,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.15,5,29,914,670,192,0,0,73.3,244,244,8,184,0,0,236,236,99,85,0,0,777,73.3,74.18,85.01,0.88,10.83,11.71,0.01,0.03,1.96,2.01,231.92,50.43,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.15,5,29,1837,657,1132,0,0,35.76,1180,1180,12,1120,0,0,1168,1168,0,1120,0,0,669,35.76,36.42,36.42,0.65,0.0,0.65,0.02,0.04,0.05,0.11,313.89,0,11.96,12.28,13.28,13.28,0.0,PASS
s1196,0.15,3,18,2176,1864,282,0,0,85.66,312,312,269,13,0,0,43,43,0,13,0,0,2133,85.66,98.02,98.02,12.36,0.0,12.36,0.04,0.02,0.01,0.06,17055.94,0,12.55,12.77,13.92,13.92,0.0,PASS
s1238,0.15,3,18,2227,1825,372,0,0,81.95,402,402,285,87,0,0,117,117,0,83,4,0,2110,81.95,94.75,94.75,12.8,0.0,12.8,0.05,0.13,1.02,1.2,2254.7,0,12.46,12.76,13.82,13.82,0.0,PASS
s5378,0.15,27,179,10097,6772,3019,2,0,67.07,3325,3325,1157,1861,3,0,2168,2168,771,1091,2,0,8700,67.07,78.53,86.16,11.46,7.64,19.09,1.35,1.58,181.32,184.25,732.95,4.25,24.7,26.1,31.71,31.71,0.0,PASS
