circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.15,5,30,801,340,407,0,0,42.45,461,461,330,77,0,0,131,131,0,77,0,0,670,42.45,83.65,83.65,41.2,0.0,41.2,0.01,0.01,0.01,0.04,24149.36,0,10.49,10.66,10.96,10.96,0.0,PASS
b04,0.15,11,66,2259,580,1565,0,0,25.68,1679,1679,1345,220,0,0,334,334,0,220,0,0,1925,25.68,85.21,85.21,59.54,0.0,59.54,0.31,5.47,3.03,8.81,246.0,0,12.39,13.12,13.69,13.69,0.0,PASS
b05,0.15,14,88,4665,4209,266,12,0,90.23,456,456,0,278,0,0,456,456,0,278,0,0,4209,90.23,90.23,90.23,0.0,0.0,0.0,1.82,3.66,4.86,10.34,0,0,14.95,15.5,17.48,17.48,0.0,PASS
b07,0.15,7,44,1575,723,774,0,0,45.9,852,852,641,133,0,0,211,211,0,133,0,0,1364,45.9,86.6,86.6,40.7,0.0,40.7,0.01,0.02,0.01,0.05,28338.1,0,11.46,11.89,12.34,12.34,0.0,PASS
b08,0.15,11,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.15,5,29,914,670,192,0,0,73.3,244,244,123,69,0,0,121,121,0,69,0,0,793,73.3,86.76,86.76,13.46,0.0,13.46,0.01,0.02,0.02,0.05,6973.5,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.15,5,29,1837,657,1132,0,0,35.76,1180,1180,992,140,0,0,188,188,0,140,0,0,1649,35.76,89.77,89.77,54.0,0.0,54.0,0.02,0.07,0.01,0.1,15187.66,0,11.96,12.65,13.04,13.04,0.0,PASS
s1196,0.15,3,18,2176,1864,282,0,0,85.66,312,312,269,13,0,0,43,43,0,13,0,0,2133,85.66,98.02,98.02,12.36,0.0,12.36,0.04,0.02,0.01,0.07,11692.74,0,12.55,12.9,13.92,13.92,0.0,PASS
s1238,0.15,3,18,2227,1825,372,0,0,81.95,402,402,285,87,0,0,117,117,0,87,0,0,2110,81.95,94.75,94.75,12.8,0.0,12.8,0.05,0.04,0.02,0.11,7461.82,0,12.46,12.76,13.82,13.82,0.0,PASS
s5378,0.15,27,179,10097,6772,3019,2,0,67.07,3325,3325,2750,268,3,0,575,575,0,268,3,0,9522,67.07,94.31,94.31,27.24,0.0,27.24,1.06,1.51,2.23,4.79,1827.12,0,24.7,29.19,31.26,31.26,0.0,PASS
