circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.15,5,30,801,315,432,0,0,39.33,486,486,0,432,0,0,486,486,0,432,0,0,315,39.33,39.33,39.33,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.49,10.66,10.97,10.97,0.0,PASS
b04,0.15,11,66,2259,369,1776,0,0,16.33,1890,1890,0,1776,0,0,1890,1890,0,1776,0,0,369,16.33,16.33,16.33,0.0,0.0,0.0,0.35,0.63,4.01,4.99,0,0,12.39,12.85,13.89,13.89,0.0,PASS
b05,0.15,14,88,4665,4225,259,3,0,90.57,440,440,0,262,0,0,440,440,0,262,0,0,4225,90.57,90.57,90.57,0.0,0.0,0.0,2.1,2.79,3.86,8.75,0,0,14.95,15.5,17.48,17.48,0.0,PASS
b07,0.15,7,44,1575,722,775,0,0,45.84,853,853,0,775,0,0,853,853,0,775,0,0,722,45.84,45.84,45.84,0.0,0.0,0.0,0.01,0.01,0.02,0.05,0,0,11.46,11.76,12.36,12.36,0.0,PASS
b08,0.15,11,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.15,5,29,914,670,192,0,0,73.3,244,244,8,184,0,0,236,236,99,85,0,0,777,73.3,74.18,85.01,0.88,10.83,11.71,0.01,0.02,0.29,0.32,326.59,343.41,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.15,5,29,1837,672,1117,0,0,36.58,1165,1165,7,1110,0,0,1158,1158,0,1110,0,0,679,36.58,36.96,36.96,0.38,0.0,0.38,0.02,0.04,0.05,0.12,174.02,0,11.96,12.28,13.28,13.28,0.0,PASS
s1196,0.15,3,18,2176,1846,300,0,0,84.83,330,330,287,13,0,0,43,43,0,13,0,0,2133,84.83,98.02,98.02,13.19,0.0,13.19,0.04,0.02,0.01,0.08,15292.9,0,12.55,12.77,13.92,13.92,0.0,PASS
s1238,0.15,3,18,2227,1815,382,0,0,81.5,412,412,295,87,0,0,117,117,0,85,2,0,2110,81.5,94.75,94.75,13.25,0.0,13.25,0.05,0.12,0.21,0.38,2554.46,0,12.46,12.77,13.82,13.82,0.0,PASS
s5378,0.15,27,179,10097,6831,2962,0,0,67.65,3266,3266,1236,1725,1,0,2030,2030,648,1078,0,0,8715,67.65,79.9,86.31,12.24,6.42,18.66,6.63,20.48,207.2,234.31,60.36,3.13,24.7,26.09,31.69,31.69,0.0,PASS
