ratio,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
0.05,1,17,0.998802,0.997655,0,0.474771,0,0,0
0.1,2,16,0.998802,0.996483,0,0.48525,0,0,0
0.15,3,15,0.994012,0.990621,0,0.466434,0,0,0
0.2,4,14,0.984431,0.98007,0,0.472015,0,0,0
