ratio,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
0.05,1,17,0.998904,0.997849,0,0.48085,0,0,0
0.1,2,16,0.998904,0.996774,0,0.49049,0,0,0
0.15,3,15,0.994518,0.991398,0,0.470621,0,0,0
0.2,4,14,0.985746,0.98172,0,0.476108,0,0,0
