ratio,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
0.05,9,170,0.939173,0.939696,0,0.459072,0,0,0
0.1,18,161,0.863795,0.86556,0,0.461658,0,0,0
0.15,27,152,0.813155,0.814938,0,0.457313,0,0,0
0.2,36,143,0.743306,0.746058,0,0.46079,0,0,0
