ratio,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
0.05,1,28,1,0.990476,0,0.337451,0,0,0
0.1,3,26,0.960526,0.942857,0,0.345855,0,0,0
0.15,4,25,0.921053,0.904762,0,0.341393,0,0,0
0.2,6,23,0.921053,0.885714,0,0.352669,0,0,0
