ratio,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
0.05,11,200,0.9761,0.975413,0,0.510186,0,0,0
0.1,21,190,0.931022,0.930278,0,0.505735,0,0,0
0.15,32,179,0.849976,0.849937,0,0.505716,0,0,0
0.2,42,169,0.811761,0.811497,0,0.502771,0,0,0
