circuit,ratio,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
s27,0.05,1,2,0.888889,0.857143,0,0.45,0,0,0
s27,0.1,1,2,0.888889,0.857143,0,0.45,0,0,0
s27,0.15,1,2,0.888889,0.857143,0,0.45,0,0,0
s27,0.2,1,2,0.888889,0.857143,0,0.45,0,0,0
