circuit,mode,lambda,coverage_proxy_mode,segment_window,ratio,k,coverage_proxy,coverage_loss,toggles,activity,max_stress,stress_variance,stress_imbalance,max_segment_stress,segment_variance,hotspot_count,tradeoff_score,pareto_cov_maxstress,pareto_cov_activity,selection_time_ms,simulation_time_ms
s1196,co_wear,0.000000,combined,16,0.500000,9,0.830012,0.169988,5076,0.467662,0.521559,0.000714,0.115248,0.467662,0.000000,0,-0.038355,1,0,0.001,0.310
s1196,co_wear,0.000000,combined,16,0.550000,10,0.883939,0.116061,6634,0.495075,0.575373,0.002232,0.162195,0.495075,0.000000,0,-0.096902,0,0,0.001,0.382
s1196,co_wear,0.000000,combined,16,0.600000,11,0.915592,0.084408,7844,0.483779,0.552917,0.002248,0.142912,0.483779,0.000000,0,-0.037111,0,0,0.001,0.470
s1196,co_wear,0.000000,combined,16,0.650000,12,0.942556,0.057444,9178,0.475643,0.552861,0.002421,0.162345,0.475643,0.000000,0,-0.007810,0,0,0.001,0.561
s1196,co_wear,0.000000,combined,16,0.700000,13,0.962485,0.037515,10727,0.473682,0.537887,0.002058,0.135546,0.473682,0.000000,0,0.036652,0,0,0.002,0.634
s1196,co_wear,0.000000,combined,16,0.750000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.002,0.708
s1196,co_wear,0.000000,combined,16,0.800000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.006,0.562
s1196,co_wear,0.000000,combined,16,0.850000,15,0.990621,0.009379,14063,0.466434,0.536816,0.002341,0.150892,0.466434,0.000000,0,0.064025,0,1,0.003,0.641
s1196,co_wear,0.000000,combined,16,0.900000,16,0.996483,0.003517,16646,0.485250,0.539179,0.001040,0.111138,0.485250,0.000000,0,0.088507,0,0,0.002,0.726
s1196,co_wear,0.000000,combined,16,0.950000,17,0.998828,0.001172,19022,0.491195,0.548727,0.001346,0.117128,0.494485,0.000006,0,0.068861,0,0,0.003,0.756
