circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.2,7,30,785,275,460,0,0,35.03,510,510,0,460,0,0,510,510,0,460,0,0,275,35.03,35.03,35.03,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.49,10.66,10.97,10.97,0.0,PASS
b04,0.2,14,66,2235,351,1776,0,0,15.7,1884,1884,0,1776,0,0,1884,1884,0,1776,0,0,351,15.7,15.7,15.7,0.0,0.0,0.0,0.37,0.53,6.16,7.06,0,0,12.39,12.85,13.89,13.89,0.0,PASS
b05,0.2,18,88,4665,4225,259,3,0,90.57,440,440,0,262,0,0,440,440,0,262,0,0,4225,90.57,90.57,90.57,0.0,0.0,0.0,2.04,2.79,3.86,8.69,0,0,14.95,15.49,17.48,17.48,0.0,PASS
b07,0.2,9,44,1559,615,870,0,0,39.45,944,944,0,870,0,0,944,944,0,870,0,0,615,39.45,39.45,39.45,0.0,0.0,0.0,0.01,0.02,0.02,0.05,0,0,11.46,11.76,12.49,12.49,0.0,PASS
b08,0.2,14,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.2,6,29,906,654,202,0,0,72.19,252,252,8,194,0,0,244,244,101,93,0,0,763,72.19,73.07,84.22,0.88,11.15,12.03,0.01,0.03,0.28,0.31,299.4,361.74,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.2,6,29,1829,662,1121,0,0,36.19,1167,1167,7,1114,0,0,1160,1160,0,1114,0,0,669,36.19,36.58,36.58,0.38,0.0,0.38,0.02,0.04,0.05,0.11,178.17,0,11.96,12.28,13.28,13.28,0.0,PASS
s1196,0.2,4,18,2168,1806,334,0,0,83.3,362,362,281,53,0,0,81,81,0,53,0,0,2087,83.3,96.26,96.26,12.96,0.0,12.96,0.04,0.02,0.01,0.07,17711.05,0,12.43,12.77,13.92,13.92,0.0,PASS
s1238,0.2,4,18,2219,1775,416,0,0,79.99,444,444,289,127,0,0,155,155,0,125,2,0,2064,79.99,93.01,93.01,13.02,0.0,13.02,0.05,0.12,0.21,0.39,2354.16,0,12.46,12.77,13.82,13.82,0.0,PASS
s5378,0.2,36,179,10025,6545,3194,0,0,65.29,3480,3480,1406,1787,1,0,2074,2074,664,1078,46,0,8615,65.29,79.31,85.94,14.02,6.62,20.65,6.36,17.52,160.84,184.73,80.23,4.13,24.7,26.25,31.71,31.71,0.0,PASS
