circuit,mode,lambda,coverage_proxy_mode,segment_window,ratio,k,coverage_proxy,coverage_loss,toggles,activity,max_stress,stress_variance,stress_imbalance,max_segment_stress,segment_variance,hotspot_count,tradeoff_score,pareto_cov_maxstress,pareto_cov_activity,selection_time_ms,simulation_time_ms
s1196,combined,0.500000,combined,16,0.600000,11,0.915592,0.084408,7844,0.483779,0.552917,0.002248,0.142912,0.483779,0.000000,0,-0.037111,0,0,0.002,0.598
s1196,combined,0.500000,combined,16,0.650000,12,0.942556,0.057444,9178,0.475643,0.552861,0.002421,0.162345,0.475643,0.000000,0,-0.007810,0,0,0.005,0.448
s1196,combined,0.500000,combined,16,0.700000,13,0.962485,0.037515,10727,0.473682,0.537887,0.002058,0.135546,0.473682,0.000000,0,0.036652,0,0,0.002,0.533
s1196,combined,0.500000,combined,16,0.750000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.002,0.658
s1196,combined,0.500000,combined,16,0.800000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.005,0.602
s1196,combined,0.500000,combined,16,0.850000,15,0.990621,0.009379,14063,0.466434,0.536816,0.002341,0.150892,0.466434,0.000000,0,0.064025,0,1,0.002,0.652
s1196,combined,0.500000,combined,16,0.900000,16,0.996483,0.003517,16646,0.485250,0.539179,0.001040,0.111138,0.485250,0.000000,0,0.088507,0,0,0.002,0.733
s1196,combined,0.500000,combined,16,0.950000,17,0.998828,0.001172,19022,0.491195,0.548727,0.001346,0.117128,0.494485,0.000006,0,0.068861,0,0,0.002,0.747
s1196,combined,0.500000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.102162,1,1,0.002,0.820
s1196,combined_wear,0.000000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.796240,0,0,0.007,0.009
s1196,combined_wear,0.000000,combined,16,0.100000,2,0.270809,0.729191,260,0.485075,0.578358,0.008702,0.192308,0.485075,0.000000,0,-0.889448,0,0,0.003,0.024
s1196,combined_wear,0.000000,combined,16,0.150000,3,0.370457,0.629543,655,0.543118,0.599502,0.003240,0.103817,0.543118,0.000000,0,-0.702163,0,0,0.002,0.054
s1196,combined_wear,0.000000,combined,16,0.200000,4,0.466589,0.533411,1162,0.541978,0.606343,0.001444,0.118761,0.541978,0.000000,0,-0.559053,0,0,0.001,0.066
s1196,combined_wear,0.000000,combined,16,0.250000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.001,0.102
s1196,combined_wear,0.000000,combined,16,0.300000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.001,0.072
s1196,combined_wear,0.000000,combined,16,0.350000,6,0.627198,0.372802,2307,0.478234,0.528607,0.000545,0.105332,0.478234,0.000000,0,-0.251592,0,0,0.001,0.120
s1196,combined_wear,0.000000,combined,16,0.400000,7,0.702227,0.297773,3059,0.465885,0.519190,0.000673,0.114416,0.465885,0.000000,0,-0.161435,1,1,0.001,0.179
s1196,combined_wear,0.000000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.110137,0,0,0.001,0.246
s1196,combined_wear,0.000000,combined,16,0.500000,9,0.830012,0.169988,5076,0.467662,0.521559,0.000714,0.115248,0.467662,0.000000,0,-0.038355,1,0,0.002,0.318
s1196,combined_wear,0.000000,combined,16,0.550000,10,0.883939,0.116061,6634,0.495075,0.575373,0.002232,0.162195,0.495075,0.000000,0,-0.096902,0,0,0.001,0.372
s1196,combined_wear,0.000000,combined,16,0.600000,11,0.915592,0.084408,7844,0.483779,0.552917,0.002248,0.142912,0.483779,0.000000,0,-0.037111,0,0,0.001,0.483
s1196,combined_wear,0.000000,combined,16,0.650000,12,0.942556,0.057444,9178,0.475643,0.552861,0.002421,0.162345,0.475643,0.000000,0,-0.007810,0,0,0.002,0.546
s1196,combined_wear,0.000000,combined,16,0.700000,13,0.962485,0.037515,10727,0.473682,0.537887,0.002058,0.135546,0.473682,0.000000,0,0.036652,0,0,0.002,0.631
s1196,combined_wear,0.000000,combined,16,0.750000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.002,0.714
s1196,combined_wear,0.000000,combined,16,0.800000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.002,0.668
s1196,combined_wear,0.000000,combined,16,0.850000,15,0.990621,0.009379,14063,0.466434,0.536816,0.002341,0.150892,0.466434,0.000000,0,0.064025,0,1,0.002,0.774
s1196,combined_wear,0.000000,combined,16,0.900000,16,0.996483,0.003517,16646,0.485250,0.539179,0.001040,0.111138,0.485250,0.000000,0,0.088507,0,0,0.002,0.857
s1196,combined_wear,0.000000,combined,16,0.950000,17,0.998828,0.001172,19022,0.491195,0.548727,0.001346,0.117128,0.494485,0.000006,0,0.068861,0,0,0.003,0.869
s1196,combined_wear,0.000000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.102162,1,1,0.003,0.928
s1196,combined_wear,0.250000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.821082,0,0,0.010,0.007
s1196,combined_wear,0.250000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.595281,1,0,0.002,0.017
s1196,combined_wear,0.250000,combined,16,0.150000,3,0.349355,0.650645,518,0.429519,0.509950,0.003244,0.187259,0.429519,0.000000,0,-0.727496,1,1,0.001,0.034
s1196,combined_wear,0.250000,combined,16,0.200000,4,0.445487,0.554513,1181,0.550840,0.565299,0.000251,0.026249,0.550840,0.000000,0,-0.557207,0,0,0.001,0.052
s1196,combined_wear,0.250000,combined,16,0.250000,5,0.527550,0.472450,1724,0.514627,0.526866,0.000130,0.023782,0.514627,0.000000,0,-0.400084,0,0,0.001,0.088
s1196,combined_wear,0.250000,combined,16,0.300000,5,0.527550,0.472450,1724,0.514627,0.526866,0.000130,0.023782,0.514627,0.000000,0,-0.400084,0,0,0.001,0.055
s1196,combined_wear,0.250000,combined,16,0.350000,6,0.601407,0.398593,2404,0.498342,0.521144,0.000127,0.045757,0.498342,0.000000,0,-0.306456,1,0,0.001,0.106
s1196,combined_wear,0.250000,combined,16,0.400000,7,0.701055,0.298945,3079,0.468931,0.523454,0.000648,0.116272,0.468931,0.000000,0,-0.222703,1,0,0.001,0.141
s1196,combined_wear,0.250000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.178367,1,0,0.001,0.228
s1196,combined_wear,0.250000,combined,16,0.500000,9,0.830012,0.169988,5069,0.467017,0.564677,0.003217,0.209114,0.467017,0.000000,0,-0.325808,0,0,0.001,0.242
s1196,combined_wear,0.250000,combined,16,0.550000,10,0.883939,0.116061,6634,0.495075,0.575373,0.002232,0.162195,0.495075,0.000000,0,-0.230313,0,0,0.001,0.306
s1196,combined_wear,0.250000,combined,16,0.600000,11,0.901524,0.098476,7958,0.490810,0.571913,0.002210,0.165243,0.490810,0.000000,0,-0.204264,0,0,0.001,0.384
s1196,combined_wear,0.250000,combined,16,0.650000,12,0.933177,0.066823,9278,0.480825,0.551617,0.002242,0.147230,0.480825,0.000000,0,-0.148466,0,0,0.002,0.438
s1196,combined_wear,0.250000,combined,16,0.700000,13,0.960141,0.039859,10722,0.473461,0.551665,0.002405,0.165174,0.473461,0.000000,0,-0.127586,0,0,0.001,0.535
s1196,combined_wear,0.250000,combined,16,0.750000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.171242,0,0,0.002,0.554
s1196,combined_wear,0.250000,combined,16,0.800000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.171242,0,0,0.001,0.518
s1196,combined_wear,0.250000,combined,16,0.850000,15,0.982415,0.017585,14419,0.478242,0.548756,0.002480,0.147444,0.478242,0.000000,0,-0.112803,0,0,0.002,0.622
s1196,combined_wear,0.250000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.038164,1,1,0.001,0.720
s1196,combined_wear,0.250000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,-0.005300,0,0,0.002,0.649
s1196,combined_wear,0.250000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.029561,1,1,0.000,0.157
s1196,combined_wear,0.500000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.814957,0,0,0.011,0.009
s1196,combined_wear,0.500000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.590235,0,0,0.003,0.020
s1196,combined_wear,0.500000,combined,16,0.150000,3,0.317702,0.682298,555,0.460199,0.472637,0.000087,0.027027,0.460199,0.000000,0,-0.506135,0,0,0.002,0.051
s1196,combined_wear,0.500000,combined,16,0.200000,4,0.399766,0.600234,908,0.423507,0.436567,0.000078,0.030837,0.423507,0.000000,0,-0.359655,1,1,0.001,0.071
s1196,combined_wear,0.500000,combined,16,0.250000,5,0.505275,0.494725,1503,0.448657,0.465672,0.000213,0.037924,0.448657,0.000000,0,-0.312709,1,1,0.001,0.103
s1196,combined_wear,0.500000,combined,16,0.300000,5,0.505275,0.494725,1503,0.448657,0.465672,0.000213,0.037924,0.448657,0.000000,0,-0.312709,1,1,0.001,0.075
s1196,combined_wear,0.500000,combined,16,0.350000,6,0.580305,0.419695,2345,0.486111,0.527363,0.000503,0.084861,0.486111,0.000000,0,-0.348127,1,0,0.001,0.138
s1196,combined_wear,0.500000,combined,16,0.400000,7,0.676436,0.323564,3272,0.498325,0.529851,0.000474,0.063264,0.498325,0.000000,0,-0.262619,1,0,0.002,0.185
s1196,combined_wear,0.500000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.177887,1,0,0.001,0.248
s1196,combined_wear,0.500000,combined,16,0.500000,9,0.793669,0.206331,5111,0.470886,0.531509,0.001029,0.128742,0.470886,0.000000,0,-0.168288,0,0,0.002,0.321
s1196,combined_wear,0.500000,combined,16,0.550000,10,0.847597,0.152403,6223,0.464403,0.561940,0.003018,0.210027,0.464403,0.000000,0,-0.299447,0,1,0.001,0.380
s1196,combined_wear,0.500000,combined,16,0.600000,11,0.901524,0.098476,7958,0.490810,0.571913,0.002210,0.165243,0.490810,0.000000,0,-0.210750,0,0,0.001,0.458
s1196,combined_wear,0.500000,combined,16,0.650000,12,0.903869,0.096131,9568,0.495854,0.582711,0.002700,0.175167,0.495854,0.000000,0,-0.262730,0,0,0.002,0.501
s1196,combined_wear,0.500000,combined,16,0.700000,13,0.935522,0.064478,11020,0.486620,0.563146,0.002692,0.157260,0.486620,0.000000,0,-0.205436,0,0,0.002,0.590
s1196,combined_wear,0.500000,combined,16,0.750000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.181294,0,0,0.002,0.670
s1196,combined_wear,0.500000,combined,16,0.800000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.181294,0,0,0.002,0.630
s1196,combined_wear,0.500000,combined,16,0.850000,15,0.963658,0.036342,14100,0.467662,0.542786,0.002072,0.160638,0.467662,0.000000,0,-0.091517,0,0,0.002,0.722
s1196,combined_wear,0.500000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.043056,1,1,0.002,0.830
s1196,combined_wear,0.500000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,-0.006506,0,0,0.003,0.895
s1196,combined_wear,0.500000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.029558,1,1,0.003,0.945
s1196,combined_wear,0.750000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.814957,0,0,0.006,0.010
s1196,combined_wear,0.750000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.589886,0,0,0.002,0.017
s1196,combined_wear,0.750000,combined,16,0.150000,3,0.317702,0.682298,555,0.460199,0.472637,0.000087,0.027027,0.460199,0.000000,0,-0.505171,0,0,0.001,0.035
s1196,combined_wear,0.750000,combined,16,0.200000,4,0.399766,0.600234,908,0.423507,0.436567,0.000078,0.030837,0.423507,0.000000,0,-0.358784,1,1,0.001,0.047
s1196,combined_wear,0.750000,combined,16,0.250000,5,0.474795,0.525205,1420,0.423881,0.477612,0.000762,0.126761,0.423881,0.000000,0,-0.368323,1,1,0.001,0.074
s1196,combined_wear,0.750000,combined,16,0.300000,5,0.474795,0.525205,1420,0.423881,0.477612,0.000762,0.126761,0.423881,0.000000,0,-0.368323,1,1,0.001,0.046
s1196,combined_wear,0.750000,combined,16,0.350000,6,0.492380,0.507620,2062,0.427446,0.487562,0.000858,0.140640,0.427446,0.000000,0,-0.369384,1,1,0.001,0.126
s1196,combined_wear,0.750000,combined,16,0.400000,7,0.597890,0.402110,3163,0.481724,0.528785,0.000660,0.097692,0.481724,0.000000,0,-0.333529,1,0,0.001,0.161
s1196,combined_wear,0.750000,combined,16,0.450000,8,0.694021,0.305979,4234,0.493703,0.530784,0.000628,0.075106,0.493703,0.000000,0,-0.247513,1,0,0.001,0.211
s1196,combined_wear,0.750000,combined,16,0.500000,9,0.696366,0.303634,5416,0.498987,0.549751,0.001259,0.101736,0.498987,0.000000,0,-0.311370,0,0,0.001,0.253
s1196,combined_wear,0.750000,combined,16,0.550000,10,0.750293,0.249707,6506,0.485522,0.578358,0.002859,0.191208,0.485522,0.000000,0,-0.384755,0,0,0.002,0.301
s1196,combined_wear,0.750000,combined,16,0.600000,11,0.849941,0.150059,7641,0.471259,0.574627,0.003486,0.219343,0.471259,0.000000,0,-0.314113,0,0,0.002,0.347
s1196,combined_wear,0.750000,combined,16,0.650000,12,0.903869,0.096131,9568,0.495854,0.582711,0.002700,0.175167,0.495854,0.000000,0,-0.232694,0,0,0.001,0.414
s1196,combined_wear,0.750000,combined,16,0.700000,13,0.905041,0.094959,10924,0.482381,0.558553,0.001891,0.157909,0.482381,0.000000,0,-0.140778,0,0,0.001,0.497
s1196,combined_wear,0.750000,combined,16,0.750000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.106265,0,0,0.002,0.535
s1196,combined_wear,0.750000,combined,16,0.800000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.106265,0,0,0.001,0.515
s1196,combined_wear,0.750000,combined,16,0.850000,15,0.963658,0.036342,14100,0.467662,0.542786,0.002072,0.160638,0.467662,0.000000,0,-0.068462,0,0,0.002,0.616
s1196,combined_wear,0.750000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.022400,1,1,0.002,0.717
s1196,combined_wear,0.750000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,0.007137,0,0,0.003,0.784
s1196,combined_wear,0.750000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.040821,1,1,0.003,0.822
s1196,combined_wear,1.000000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.818572,0,0,0.010,0.007
s1196,combined_wear,1.000000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.593463,0,0,0.002,0.017
s1196,combined_wear,1.000000,combined,16,0.150000,3,0.317702,0.682298,555,0.460199,0.472637,0.000087,0.027027,0.460199,0.000000,0,-0.509585,0,0,0.001,0.042
s1196,combined_wear,1.000000,combined,16,0.200000,4,0.335287,0.664713,977,0.455690,0.488806,0.000370,0.072671,0.455690,0.000000,0,-0.526691,0,0,0.001,0.055
s1196,combined_wear,1.000000,combined,16,0.250000,5,0.417351,0.582649,1430,0.426866,0.456716,0.000234,0.069930,0.426866,0.000000,0,-0.379311,1,1,0.001,0.084
s1196,combined_wear,1.000000,combined,16,0.300000,5,0.417351,0.582649,1430,0.426866,0.456716,0.000234,0.069930,0.426866,0.000000,0,-0.379311,1,1,0.001,0.058
s1196,combined_wear,1.000000,combined,16,0.350000,6,0.492380,0.507620,2062,0.427446,0.487562,0.000858,0.140640,0.427446,0.000000,0,-0.386027,1,1,0.001,0.110
s1196,combined_wear,1.000000,combined,16,0.400000,7,0.494725,0.505275,2880,0.438623,0.518124,0.001583,0.181250,0.438623,0.000000,0,-0.483413,1,1,0.001,0.148
s1196,combined_wear,1.000000,combined,16,0.450000,8,0.600234,0.399766,4179,0.487290,0.550373,0.001354,0.129457,0.487290,0.000000,0,-0.429282,0,0,0.001,0.196
s1196,combined_wear,1.000000,combined,16,0.500000,9,0.696366,0.303634,5416,0.498987,0.549751,0.001259,0.101736,0.498987,0.000000,0,-0.334707,0,0,0.001,0.268
s1196,combined_wear,1.000000,combined,16,0.550000,10,0.750293,0.249707,6506,0.485522,0.578358,0.002859,0.191208,0.485522,0.000000,0,-0.433440,0,0,0.001,0.303
s1196,combined_wear,1.000000,combined,16,0.600000,11,0.751465,0.248535,7666,0.472801,0.550204,0.001937,0.163710,0.472801,0.000000,0,-0.315891,0,0,0.001,0.346
s1196,combined_wear,1.000000,combined,16,0.650000,12,0.851114,0.148886,8863,0.459318,0.549129,0.002414,0.195532,0.459318,0.000000,0,-0.245016,0,1,0.001,0.402
s1196,combined_wear,1.000000,combined,16,0.700000,13,0.905041,0.094959,10924,0.482381,0.558553,0.001891,0.157909,0.482381,0.000000,0,-0.174115,0,0,0.001,0.465
s1196,combined_wear,1.000000,combined,16,0.750000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.140303,0,0,0.001,0.551
s1196,combined_wear,1.000000,combined,16,0.800000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.140303,0,0,0.002,0.500
s1196,combined_wear,1.000000,combined,16,0.850000,15,0.963658,0.036342,14100,0.467662,0.542786,0.002072,0.160638,0.467662,0.000000,0,-0.104543,0,0,0.000,0.117
s1196,combined_wear,1.000000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.055017,1,1,0.000,0.137
s1196,combined_wear,1.000000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,-0.015601,0,0,0.000,0.147
s1196,combined_wear,1.000000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.021463,1,1,0.000,0.156
s1196,combined_wear_leveling,0.000000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.796240,0,0,0.014,0.007
s1196,combined_wear_leveling,0.000000,combined,16,0.100000,2,0.270809,0.729191,260,0.485075,0.578358,0.008702,0.192308,0.485075,0.000000,0,-0.889448,0,0,0.011,0.019
s1196,combined_wear_leveling,0.000000,combined,16,0.150000,3,0.370457,0.629543,655,0.543118,0.599502,0.003240,0.103817,0.543118,0.000000,0,-0.702163,0,0,0.016,0.038
s1196,combined_wear_leveling,0.000000,combined,16,0.200000,4,0.466589,0.533411,1162,0.541978,0.606343,0.001444,0.118761,0.541978,0.000000,0,-0.559053,0,0,0.023,0.056
s1196,combined_wear_leveling,0.000000,combined,16,0.250000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.029,0.077
s1196,combined_wear_leveling,0.000000,combined,16,0.300000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.028,0.048
s1196,combined_wear_leveling,0.000000,combined,16,0.350000,6,0.627198,0.372802,2307,0.478234,0.528607,0.000545,0.105332,0.478234,0.000000,0,-0.251592,0,0,0.043,0.100
s1196,combined_wear_leveling,0.000000,combined,16,0.400000,7,0.702227,0.297773,3059,0.465885,0.519190,0.000673,0.114416,0.465885,0.000000,0,-0.161435,1,1,0.042,0.143
s1196,combined_wear_leveling,0.000000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.110137,0,0,0.048,0.197
s1196,combined_wear_leveling,0.000000,combined,16,0.500000,9,0.830012,0.169988,5076,0.467662,0.521559,0.000714,0.115248,0.467662,0.000000,0,-0.038355,1,0,0.055,0.260
s1196,combined_wear_leveling,0.000000,combined,16,0.550000,10,0.883939,0.116061,6634,0.495075,0.575373,0.002232,0.162195,0.495075,0.000000,0,-0.096902,0,0,0.064,0.300
s1196,combined_wear_leveling,0.000000,combined,16,0.600000,11,0.915592,0.084408,7844,0.483779,0.552917,0.002248,0.142912,0.483779,0.000000,0,-0.037111,0,0,0.073,0.367
s1196,combined_wear_leveling,0.000000,combined,16,0.650000,12,0.942556,0.057444,9178,0.475643,0.552861,0.002421,0.162345,0.475643,0.000000,0,-0.007810,0,0,0.076,0.451
