circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.05,2,30,825,590,175,0,0,71.52,235,235,152,23,0,0,83,83,0,23,0,0,742,71.52,89.94,89.94,18.42,0.0,18.42,0.01,0.01,0.01,0.03,14529.7,0,10.49,10.66,10.96,10.96,0.0,PASS
b04,0.05,4,66,2315,1908,279,0,0,82.42,407,407,97,182,0,0,310,310,16,166,0,0,2021,82.42,86.61,87.3,4.19,0.69,4.88,6.6,3.8,5.67,16.07,25.53,2.82,12.38,12.59,13.7,13.7,0.0,PASS
b05,0.05,5,88,4665,4209,266,12,0,90.23,456,456,0,278,0,0,456,456,0,278,0,0,4209,90.23,90.23,90.23,0.0,0.0,0.0,2.27,4.88,6.56,13.72,0,0,14.95,15.49,17.48,17.48,0.0,PASS
b07,0.05,3,44,1607,1408,113,0,0,87.62,199,199,2,111,0,0,197,197,86,25,0,0,1496,87.62,87.74,93.09,0.12,5.35,5.48,0.02,0.02,0.02,0.06,119.65,3696.18,11.46,11.61,12.34,12.34,0.0,PASS
b08,0.05,4,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.05,2,29,938,723,157,0,0,77.08,215,215,90,67,0,0,125,125,0,67,0,0,813,77.08,86.67,86.67,9.59,0.0,9.59,0.01,0.25,0.28,0.54,364.94,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.05,2,29,1861,690,1117,0,0,37.08,1171,1171,11,1106,0,0,1160,1160,1,1105,0,0,702,37.08,37.67,37.72,0.59,0.05,0.64,0.03,0.05,0.23,0.31,210.31,4.3,11.96,12.28,13.27,13.27,0.0,PASS
s1196,0.05,1,18,2192,2156,2,0,0,98.36,36,36,0,2,0,0,36,36,0,2,0,0,2156,98.36,98.36,98.36,0.0,0.0,0.0,0.05,0.01,0.01,0.07,0,0,12.55,12.76,13.79,13.79,0.0,PASS
s1238,0.05,1,18,2243,2133,76,0,0,95.1,110,110,0,76,0,0,110,110,0,76,0,0,2133,95.1,95.1,95.1,0.0,0.0,0.0,0.08,0.03,0.03,0.14,0,0,12.46,12.75,13.82,13.82,0.0,PASS
s5378,0.05,9,179,10241,8157,1742,2,0,79.65,2084,2084,1576,165,3,0,508,508,0,165,3,0,9733,79.65,95.04,95.04,15.39,0.0,15.39,9.73,1.26,1.72,12.72,1248.96,0,25.11,26.05,31.22,31.22,0.0,PASS
